rule_id,task_id,rule_type,required_questions,applies_when,not_applicable_when,auto_done_when,fallback_status
TR-8001,RN-H24-01,GENERAL,,TRUE,,,OPEN
TR-8002,RN-H24-02,GENERAL,,TRUE,,,OPEN
TR-8003,RN-H24-03,GENERAL,,TRUE,,,OPEN
TR-8004,RN-H24-04,GENERAL,,TRUE,,,OPEN
TR-8005,RN-H24-05,GENERAL,,TRUE,,,OPEN
TR-8011,RN-H24-11,CONFIRMED,Q-DIG-01,Q-DIG-01 contains_any [MOBILE;NET;SUBSCRIPTIONS;ACCOUNTS],Q-DIG-01 == NONE,,NEED_CONFIRM
TR-8101,RN-D7-01,CONFIRMED,Q-FUN-STATUS-01,Q-FUN-STATUS-01 in [NOT_DECIDED;UNKNOWN;DIRECT_CREMATION],Q-FUN-STATUS-01 == NO_FUNERAL,Q-FUN-STATUS-01 in [ARRANGING;SCHEDULED;COMPLETED],NEED_CONFIRM
TR-8102,RN-D7-02,CONFIRMED,Q-FUN-STATUS-01,Q-FUN-STATUS-01 in [NOT_DECIDED;ARRANGING;UNKNOWN;DIRECT_CREMATION],Q-FUN-STATUS-01 == NO_FUNERAL,Q-FUN-STATUS-01 in [SCHEDULED;COMPLETED],NEED_CONFIRM
TR-8104,RN-D7-04,GENERAL,,TRUE,,,OPEN
TR-8106,RN-D7-06,CONFIRMED,Q-ADMIN-DN-01,Q-ADMIN-DN-01 in [NO;IN_PROGRESS;UNKNOWN],,Q-ADMIN-DN-01 == YES,NEED_CONFIRM
TR-8107,RN-D7-07,GENERAL,,TRUE,,,OPEN
TR-8110,RN-D7-10,GENERAL,,TRUE,,,OPEN
TR-8112,RN-D7-12,CONFIRMED,Q-EMP-01,Q-EMP-01 == YES OR Q-EMP-01 == UNKNOWN,,,NEED_CONFIRM
TR-8113,RN-D7-13,GENERAL,,TRUE,,,OPEN
TR-8114,RN-D7-14,CONFIRMED,Q-DECEASED-EMP-01,Q-DECEASED-EMP-01 == YES OR Q-DECEASED-EMP-01 == UNKNOWN,,,NEED_CONFIRM
TR-8115,RN-D7-15,GENERAL,,TRUE,,,OPEN
TR-8116,RN-D7-16,GENERAL,,TRUE,,,OPEN
TR-8117,RN-D7-17,CONFIRMED,Q-FIN-01,Q-FIN-01 contains BANK,Q-FIN-01 == NONE OR (answered_non_unknown(Q-FIN-01) AND Q-FIN-01 does_not_contain BANK),,NEED_CONFIRM
TR-8201,RN-D14-01,CONFIRMED,Q-HOUSEHOLD-01,Q-HOUSEHOLD-01 == YES,Q-HOUSEHOLD-01 == NO,,NEED_CONFIRM
TR-8202,RN-D14-02,CONFIRMED,Q-HI-01,Q-HI-01 in [NHI;EHI;LATTER;UNKNOWN],,,NEED_CONFIRM
TR-8203,RN-D14-03,CONFIRMED,Q-HI-01,Q-HI-01 in [NHI;EHI;LATTER;UNKNOWN],,,NEED_CONFIRM
TR-8204,RN-D14-04,CONFIRMED,Q-HI-01,Q-HI-01 in [NHI;EHI;LATTER;UNKNOWN],,,NEED_CONFIRM
TR-8205,RN-D14-05,CONFIRMED,Q-CARE-01,TRUE,,,NEED_CONFIRM
TR-8206,RN-D14-06,CONFIRMED,Q-PEN-01,Q-PEN-01 == YES,Q-PEN-01 == NO,,NEED_CONFIRM
TR-8207,RN-D14-07,CONFIRMED,Q-PEN-01,Q-PEN-01 == YES OR Q-PEN-01 == UNKNOWN OR Q-PEN-01 == NO,,,NEED_CONFIRM
TR-8208,RN-D14-08,CONFIRMED,Q-SPOUSE-01;Q-CHILD-U18-01;Q-PEN-EMP-01;Q-PEN-01;Q-REL-01,Q-SPOUSE-01 == YES OR Q-CHILD-U18-01 == YES OR Q-PEN-EMP-01 == YES OR Q-PEN-01 == YES OR Q-REL-01 in [SPOUSE;PARENT;CHILD;OTHER_RELATIVE;UNKNOWN],Q-REL-01 in [NON_RELATIVE;SIBLING] AND Q-SPOUSE-01 == NO AND Q-CHILD-U18-01 == NO AND Q-PEN-EMP-01 == NO AND Q-PEN-01 == NO,,NEED_CONFIRM
TR-8209,RN-D14-09,CONFIRMED,Q-FIN-01,Q-FIN-01 contains BANK,Q-FIN-01 == NONE OR (answered_non_unknown(Q-FIN-01) AND Q-FIN-01 does_not_contain BANK),,NEED_CONFIRM
TR-8210,RN-D14-10,CONFIRMED,Q-FIN-01,Q-FIN-01 contains SECURITIES,Q-FIN-01 == NONE OR (answered_non_unknown(Q-FIN-01) AND Q-FIN-01 does_not_contain SECURITIES),,NEED_CONFIRM
TR-8211,RN-D14-11,CONFIRMED,Q-INS-01,Q-INS-01 contains LIFE,Q-INS-01 == NONE OR (answered_non_unknown(Q-INS-01) AND Q-INS-01 does_not_contain LIFE),,NEED_CONFIRM
TR-8212,RN-D14-12,CONFIRMED,Q-INS-DAMAGE-01;Q-RE-01;Q-CAR-01,Q-INS-DAMAGE-01 == YES OR Q-INS-DAMAGE-01 == UNKNOWN OR Q-RE-01 == YES OR Q-CAR-01 == YES,Q-INS-DAMAGE-01 == NO AND Q-RE-01 == NO AND Q-CAR-01 == NO,,NEED_CONFIRM
TR-8215,RN-D14-15,CONFIRMED,Q-UTIL-01,Q-UTIL-01 contains ELECTRIC,Q-UTIL-01 == NONE OR (answered_non_unknown(Q-UTIL-01) AND Q-UTIL-01 does_not_contain ELECTRIC),,NEED_CONFIRM
